Title,Overlap,Clusters,n,N,bias,two_sided.P.Value,two_sided.adj.P.Val
MC_31 Lower layer isocortical neurons,13,25,1834,4671,enrichment,0.22,0.49
MC_5 Hypothalamic and pallidal MGE neurons,8,14,1834,4671,enrichment,0.18,0.43
"MC_20 MGE PV interneurons, likely chandelier",7,12,1834,4671,enrichment,0.24,0.52
MC_84 Reticular thalamic neurons,12,23,1834,4671,enrichment,0.21,0.49
MC_72 Triangular septal nucleus neurons,6,10,1834,4671,enrichment,0.2,0.47
MC_144 Medulary vestibular neurons,9,17,1834,4671,enrichment,0.32,0.64
MC_80 Anterior hypothalamic neurons,12,24,1834,4671,enrichment,0.3,0.62
"MC_164 Pontine and medullary neurons, primarily nucleus solitarius",26,57,1834,4671,enrichment,0.34,0.65
MC_77 Hypothalamic neurons,11,22,1834,4671,enrichment,0.38,0.68
"MC_3 Pallidal, hypothalamic and amygdalar MGE neurons, primarily BNST",14,29,1834,4671,enrichment,0.34,0.65
"MC_98 Midbrain neurons, primarily periaqueductal gray",14,29,1834,4671,enrichment,0.34,0.65
"MC_215 Superior collicular, motor area neurons",42,96,1834,4671,enrichment,0.4,0.69
MC_14 Anterior hypothalamic MGE neurons,7,13,1834,4671,enrichment,0.39,0.68
MC_19 Septal and hypothalamic neurons,7,13,1834,4671,enrichment,0.39,0.68
MC_27 CGE interneurons of isocortex and amygdala,7,13,1834,4671,enrichment,0.39,0.68
"MC_61 Medium spiny neurons of striatum, pallidum, and amygdala",34,77,1834,4671,enrichment,0.41,0.69
MC_29 CGE interneurons of hippocampus and insula,10,20,1834,4671,enrichment,0.36,0.67
MC_107 Pontine and medullary neurons,9,18,1834,4671,enrichment,0.35,0.66
"MC_202 Tegmental neurons, including cuneiform nucleus",12,25,1834,4671,enrichment,0.41,0.69
"MC_99 Pontine and medullary neurons, primarily raphe",34,78,1834,4671,enrichment,0.48,0.74
MC_39 Upper layer isocortical neurons,8,16,1834,4671,enrichment,0.44,0.71
MC_152 Medullary reticular neurons,8,16,1834,4671,enrichment,0.44,0.71
MC_205 Tegmental neurons,13,28,1834,4671,enrichment,0.44,0.71
MC_55 Olfactory area excitatory neurons,10,21,1834,4671,enrichment,0.5,0.76
MC_43 Upper layer excitatory neurons (primarily entorhinal and subicular),7,14,1834,4671,enrichment,0.42,0.7
MC_200 PAG and SCm neurons,12,26,1834,4671,enrichment,0.55,0.76
"MC_91 Hypothalamic and midbrain neurons, primarily subparafascicular area",6,12,1834,4671,enrichment,0.56,0.76
MC_206 Subparafascicular neurons,6,12,1834,4671,enrichment,0.56,0.76
MC_208 PAG neurons,11,24,1834,4671,enrichment,0.53,0.76
MC_46 Layer 5 cortical neurons,13,29,1834,4671,enrichment,0.57,0.77
MC_36 Cortical neurons,8,17,1834,4671,enrichment,0.62,0.8
MC_177 Pontine and medullary neurons,15,34,1834,4671,enrichment,0.6,0.79
MC_41 Layer 6 cortical neurons,5,10,1834,4671,enrichment,0.53,0.76
MC_145 Medulary vestibular neurons,5,10,1834,4671,enrichment,0.53,0.76
MC_217 Dentate principal neurons,5,10,1834,4671,enrichment,0.53,0.76
MC_51 Amygdalar neurons,12,27,1834,4671,enrichment,0.69,0.87
MC_168 Pontine and medullary neurons,18,42,1834,4671,enrichment,0.64,0.82
MC_48 Hippocampal CA1 neurons,11,26,1834,4671,enrichment,0.84,1
MC_57 Inhibitory olfactory neurons,37,92,1834,4671,enrichment,0.91,1
MC_121 Pontine and medullary neurons,6,14,1834,4671,enrichment,0.79,0.97
"MC_156 Medullary neurons, primarily vestibular nuclei",7,17,1834,4671,enrichment,1,1
MC_16 Septal neurons,12,30,1834,4671,enrichment,1,1
MC_159 Pontine and medullary reticular neurons,12,30,1834,4671,enrichment,1,1
MC_59 Immature olfactory bulb neurons,5,12,1834,4671,enrichment,1,1
MC_154 Midbrain and pontine neurons,10,25,1834,4671,enrichment,1,1
MC_191 Hypothalamic neurons,10,25,1834,4671,enrichment,1,1
MC_94 Tegmental neurons,29,74,1834,4671,depletion,1,1
MC_162 Pontine and medullary neurons,15,38,1834,4671,enrichment,1,1
MC_44 Cortical and piriform upper layer neurons,8,20,1834,4671,enrichment,1,1
MC_174 Pontine and medullary reticular neurons,9,23,1834,4671,depletion,1,1
"MC_193 Hypothalamic neurons, primarily mammilary body nuclei",9,23,1834,4671,depletion,1,1
"MC_4 Long-range projecting interneurons of cortex, striatum, and pallidum",4,10,1834,4671,enrichment,1,1
MC_97 Midbrain and pontine neurons,8,21,1834,4671,depletion,1,1
MC_104 Midbrain neurons,8,21,1834,4671,depletion,1,1
MC_10 Hypothalamic and pallidal MGE neurons,5,13,1834,4671,depletion,1,1
MC_111 Pontine and medullary neurons,5,13,1834,4671,depletion,1,1
MC_176 Reticular medullary neurons,11,29,1834,4671,depletion,1,1
MC_131 Pontine and medullary neurons,9,24,1834,4671,depletion,1,1
MC_87 Bed nucleus neurons,6,16,1834,4671,depletion,1,1
MC_122 Pontine and medullary neurons,6,16,1834,4671,depletion,1,1
MC_196 Tegmental neurons,6,16,1834,4671,depletion,1,1
MC_127 Pontine and medullary neurons,7,19,1834,4671,depletion,1,1
"MC_30 CGE isocortical interneurons, primarily layer 1",4,11,1834,4671,depletion,1,1
"MC_186 Tegmental neurons, primarily co-releasing (PMIDs 2797622 33619763)",4,11,1834,4671,depletion,1,1
MC_102 Midbrain neurons,5,14,1834,4671,depletion,1,1
MC_151 Ventral cochlear nuclei neurons,5,14,1834,4671,depletion,1,1
MC_210 Tectal neurons,5,14,1834,4671,depletion,1,1
MC_203 Tectal neurons,10,28,1834,4671,depletion,0.85,1
MC_173 Pontine and medullary reticular neurons,23,63,1834,4671,depletion,0.7,0.87
"MC_178 Posterior medullary neurons, primarily spinal nucleus",15,42,1834,4671,depletion,0.75,0.93
MC_209 Tectal neurons,17,48,1834,4671,depletion,0.66,0.84
MC_216 Inferior collicular neurons,10,29,1834,4671,depletion,0.7,0.87
MC_86 Midbrain neurons,9,27,1834,4671,depletion,0.56,0.76
MC_143 Pontine and medullary neurons,15,44,1834,4671,depletion,0.54,0.76
MC_79 Hypothalamic and pallidal neurons,11,33,1834,4671,depletion,0.59,0.79
MC_163 Pontine and medullary noradrenergic neurons,5,16,1834,4671,depletion,0.61,0.8
MC_109 Raphe serotoneregic and excitatory neurons,8,25,1834,4671,depletion,0.54,0.76
MC_54 Lateral olfactory tract and amygdalar neurons,5,17,1834,4671,depletion,0.47,0.73
MC_110 Raphe serotonergic and inhibitory neurons,4,14,1834,4671,depletion,0.59,0.79
MC_130 Pontine and medullary neurons,9,29,1834,4671,depletion,0.45,0.71
MC_135 Pontine and medullary reticular neurons,9,29,1834,4671,depletion,0.45,0.71
"MC_42 Entorhinal, insular, and piriform excitatory neurons",3,11,1834,4671,depletion,0.54,0.76
MC_52 Amygdalar neurons,3,11,1834,4671,depletion,0.54,0.76
MC_90 Midbrain neurons,9,30,1834,4671,depletion,0.35,0.66
MC_149 Pontine and medullary neurons,5,18,1834,4671,depletion,0.47,0.73
MC_128 Pontine and medullary neurons,16,51,1834,4671,depletion,0.31,0.62
MC_9 Hypothalamic and pallidal MGE neurons,3,12,1834,4671,depletion,0.39,0.68
"MC_140 Pontine and medullary neurons, primarily nucleus of the lateral lemniscus",3,12,1834,4671,depletion,0.39,0.68
MC_212 Tectal neurons,30,91,1834,4671,depletion,0.23,0.51
MC_195 Tegmental neurons,13,43,1834,4671,depletion,0.27,0.57
MC_129 Pontine and medullary neurons,6,22,1834,4671,depletion,0.28,0.59
MC_34 Layer 6 isocortical neurons,4,16,1834,4671,depletion,0.31,0.62
MC_138 Pontine and medullary neurons,5,20,1834,4671,depletion,0.25,0.54
MC_189 Hypothalamic and tegmental neurons,4,17,1834,4671,depletion,0.22,0.49
"MC_175 Medullary neurons, primarily nucleus of the solitary tract",7,28,1834,4671,depletion,0.17,0.41
"MC_170 Hypothalamic neurons, primarily zona incerta",2,11,1834,4671,depletion,0.22,0.49
MC_172 Pontine and medullary reticular neurons,8,32,1834,4671,depletion,0.11,0.3
MC_157 Pontine and medullary reticular neurons,9,36,1834,4671,depletion,0.088,0.25
MC_139 Pontine and medullary neurons,5,23,1834,4671,depletion,0.091,0.26
MC_188 Hypothalamic and tegmental neurons,8,34,1834,4671,depletion,0.077,0.24
"MC_93 Tegmental neurons, primarily interstitial nucleus of Cajal",3,17,1834,4671,depletion,0.082,0.24
MC_214 Lateral habenular neurons,8,35,1834,4671,depletion,0.055,0.2
MC_194 Posterior hypothalamic neurons,5,25,1834,4671,depletion,0.063,0.21
MC_103 Midbrain neurons,7,32,1834,4671,depletion,0.046,0.18
MC_134 Pontine and medullary neurons,4,22,1834,4671,depletion,0.049,0.18
MC_92 Tegmental neurons,8,37,1834,4671,depletion,0.028,0.13
MC_150 Deep cerebellar nuclei neurons,1,10,1834,4671,depletion,0.1,0.28
MC_132 Pontine and medullary neurons,4,23,1834,4671,depletion,0.033,0.14
MC_22 MGE SST interneurons of hippocampus,5,27,1834,4671,depletion,0.029,0.13
MC_64 Ependymal cells,1,11,1834,4671,depletion,0.059,0.2
MC_69 Endothelial cells,1,13,1834,4671,depletion,0.021,0.11
MC_171 Pontine and medullary reticular neurons,7,39,1834,4671,depletion,0.0075,0.052
MC_146 Pontine and medullary neurons,1,14,1834,4671,depletion,0.013,0.075
MC_165 Cholinergic neurons of the nucleus solitarius,1,14,1834,4671,depletion,0.013,0.075
MC_221 Inferior olivary excitatory neurons,1,14,1834,4671,depletion,0.013,0.075
"MC_158 Medullary neurons, primarily vestibular nuclei",3,26,1834,4671,depletion,0.0038,0.034
MC_142 Pontine and medullary neurons,18,83,1834,4671,depletion,8.9e-4,0.013
MC_70 Fibroblasts,5,37,1834,4671,depletion,0.001,0.013
MC_125 Pontine and medullary neurons,4,34,1834,4671,depletion,6.2e-4,0.011
MC_126 Pontine and medullary neurons,5,40,1834,4671,depletion,2.7e-4,0.0072
MC_133 Pontine and medullary neurons,5,40,1834,4671,depletion,2.7e-4,0.0072
MC_124 Pontine and medullary neurons,12,71,1834,4671,depletion,6.7e-5,0.0027
MC_73 Cholinergic neurons of cranial nuclei,1,23,1834,4671,depletion,3.2e-4,0.0074
MC_137 Pontine and medullary neurons,5,45,1834,4671,depletion,4.2e-5,0.0023
MC_155 Pontine and medullary reticular neurons,13,78,1834,4671,depletion,1.9e-5,0.0015
MC_123 Pontine and medullary neurons,8,84,1834,4671,depletion,1.2e-9,1.9e-7
