Annotation	key	cell_class	removal_reason	num_cells_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Ex_Pax6_Gna14_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-1-1	neuron		59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Sim1_Asb4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-0-0	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG|MB	MB	MRN	NA	MB	MRN	VGLUT2
Ex_Sim1_Kynu	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-0-1	neuron		41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Lmx1a_Agtr1b	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-1-0	neuron		37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	VGLUT2
Ex_Lmx1a_Tinag	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-1-1	neuron		41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Sim1_Pitx2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-0-0	neuron		55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	VGLUT2
Ex_Sim1_Pitx2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-0-1	neuron		26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	VGLUT2
Ex_Sim1_Pitx2_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-1	neuron		26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-1	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-2	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Tbx3_Crabp1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-1	neuron		26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB		MB		NA	MB		GABA
Ex_Prox1_Bsx	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-1	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_Vsx2_Pitx2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-0	neuron		61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Vsx2_Foxd3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_Vsx2_Galr1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-1	neuron		45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Vsx2_C1ql4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-1	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Vsx2_Sox1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-1	neuron		51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			VGLUT2
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Pax3_Zic1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-1	neuron		33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	SCm|MB|PAG	MB	SCm	NA	MB	SCm	GABA
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-1-0	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Pax3_Zic1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-1-1	neuron		24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|SCm|MRN|PAG	MB	MB	NA	MB	MB	GABA
Ex_Tcf7l2_Prokr2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-0-0	neuron		60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tcf7ll2_Slc25a21	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-0-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_Sox6_Twist1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-1	neuron		30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG|MRN	MB	MB	NA	MB	MB	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Zeb2_Crym_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-0-0	neuron		20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB|P	MRN|PAG	MB	MRN	NA	MB	MRN	GLY
Inh_Zeb2_Crym_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-0-1	neuron		16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GLY
Inh_Zeb2_Clec10a	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-1	neuron		18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			GLY
Ex_C1ql4_Art4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	neuron		58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Nts	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-1	neuron		38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Tnnt2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-1-0	neuron		37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Slc25a21	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-1-1	neuron		37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Mdfic2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-0-0	neuron		54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-0-1	DOUBLET	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_C1ql4_Mdfic2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-1-0	neuron		39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Pappa	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-1-1	neuron		17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Zfp114_Art4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-0	neuron		76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|RN|MB	MB	MRN	NA	MB	MRN	VGLUT2
Ex_C1ql4_Svep1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1	neuron		28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN	MB	MB	NA	MB	MB	VGLUT2
Ex_C1ql4_Ebf2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-1	neuron		61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Cox6a2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-0-0	neuron		38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Cox6a2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-0-1	neuron		21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_C1ql4_Thbs4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-1	neuron		47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB|PAG	MB	MRN	NA	MB	MRN	VGLUT2
Ex_Defb1_Arhgap36	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	neuron		104	0	0	0	0	0	0	0	7	80	2	0	0	0	MB	MB	0.898876404494382	PAG|MB|MRN	PAG	0.725	MB	PAG	MB	PAG	89	MB	PAG	VGLUT2
Ex_Defb1_Cnga3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-1	neuron		25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-0-0	neuron		47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-0-1	neuron		45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-1	neuron		48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG|MRN	MB	MB	NA	MB	MB	VGLUT2
Ex_Tfap2b_Clec12a	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-1-0	neuron		80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Wfdc10	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-1-1	neuron		58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Calcr	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-2-0	neuron		91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Gabre	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-2-1	neuron		48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Tfap2b_Crh	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-3	neuron		56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Inh_Dlx1_Foxd1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	neuron		58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB	MB	MB	NA	MB	MB	GABA
Inh_Dlx1_Foxd1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-1	neuron		20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Dlx1_Six3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-1	neuron		27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Pax6_Cdh23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-1	neuron		91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB		MB		NA	MB		GABA
Inh_Pax6_Nkx2-2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-0	neuron		102	0	0	0	0	0	0	0	16	20	0	0	0	0	MB|HY	MB	0.555555555555556	PAG|MB|MRN|DR|PRT|RN	PAG	0.3	MB	MRN|PAG	MB	MRN	36	MB	PAG	GABA
Inh_Pax6_Nkx2-2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-1-0	neuron		37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Pax6_Nt5dc2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-1-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Six3_Irs4_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0	neuron		98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN|PAG	MB	MB	NA	MB	MB	GABA
Inh_Six3_Irs4_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Six3_Tpbg	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-1	neuron		25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	GABA
Inh_Six3_Six6_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-2	neuron		17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	GABA
Inh_Six3_Six6_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-1	neuron		20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG|MRN	MB	MB	NA	MB	MB	GABA
Inh_Six3_Six6_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-2	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Six3_Six6_4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Six3_Aldh3b2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	neuron		29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|MRN|PAG	MB	MB	NA	MB	MB	GABA
Inh_Six3_Aldh3b2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-1	neuron		26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG|MRN	MB	MB	NA	MB	MB	GABA
Inh_Six3_Serpinb1b_Sox3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-1	neuron		23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	GABA
Inh_Six3_Bnc2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-1	neuron		29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	GABA
Inh_Six3_Bnc2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-1-0	neuron		89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	GABA
Inh_Six3_Pthlh	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-1-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Inh_Six3_Pgm5	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-1	neuron		18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	GABA
Inh_Six3_Fezf1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-1-0	neuron		22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	GABA
Inh_Six3_Fezf1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-1-1	neuron	automatic	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_Zic1_St14	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	neuron		226	0	0	0	0	0	0	1	0	32	0	0	0	0	MB	MB	0.96969696969697	PAG|SCm|MB	PAG	0.65625	MB	PAG|SCm	MB	PAG	33	MB	PAG	VGLUT2
Ex_Zic1_S100a11	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-1-0	neuron		39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	VGLUT2
Ex_Zic1_Slc38a4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-1-1	neuron		36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
