Annotation	key	cell_class	removal_reason	num_cells_postQC	top_dissectate_postQC	max_pct_dissectate_postQC	top_replicate_postQC	max_pct_replicate_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
Ex_Prox1_Bhlhe23_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-1	neuron		64	MB_M4_M4B	50.00%	MB_M4_B_F012	32.81%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Prox1_Bhlhe23_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-0	neuron		100	MB_M4_M4A	47.00%	MB_M3_F012	27.00%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Prox1_Ltbp1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-1	neuron		23	MB_M1_M1	39.13%	MB_M1_M013	21.74%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Zic1_Bhlhe23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-3	neuron		38	MB_M4_M4B	47.37%	MB_M4_B_F012	34.21%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Pax6_Pappa2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	neuron		96	MB_M5_M5	44.79%	MB_M5_F010	29.17%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Pax6_Pappa2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-1-0	neuron		54	MB_M5_M5	37.04%	MB_M5_F010	25.93%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Pax6_Pappa2_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-1-1	neuron		39	MB_M5_M5	28.21%	MB_L5_F010	23.08%																				MB	MRN|PAG	MB	MRN		MB	MRN	VGLUT2
Ex_Pax6_Gna14_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-1-0	neuron		86	MB_M4_M4A	30.23%	MB_M5_F010	13.95%																				MB	MRN|MB|PRT	MB	MRN		MB	MRN	VGLUT2
Ex_Pax6_Gna14_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-1-1	neuron		59	MB_M5_M5	32.20%	MB_M5_F010	22.03%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Sim1_Asb4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-0-0	neuron		46	MB_M6_M6	39.13%	MB_M6_F012	13.04%																				MB	MRN|PAG|MB	MB	MRN		MB	MRN	VGLUT2
Ex_Sim1_Kynu	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-0-1	neuron		41	MB_M6_M6	31.71%	MB_M5_F010	17.07%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Lmx1a_Agtr1b	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-1-0	neuron		37	MB_M6_M6	59.46%	MB_M6_F012	24.32%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Lmx1a_Tinag	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-0-1-1	neuron		41	MB_L6_L6	60.98%	MB_L6_M013	31.71%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Sim1_Pitx2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-0-0	neuron		55	MB_M6_M6	41.82%	MB_M5_F012	16.36%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Sim1_Pitx2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-0-1	neuron		26	MB_M6_M6	50.00%	MB_M6_F011	23.08%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Sim1_Pitx2_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-11-1-1	neuron		26	MB_M6_M6	34.62%	MB_M4_B_F012	23.08%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0	DOUBLET	manual	0																															none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-1	DOUBLET	manual	0																															none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-2	DOUBLET	manual	0																															none
Inh_Tbx3_Crabp1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-1	neuron		26	MB_M7_M7	53.85%	HY_HY_F022	34.62%																				MB		MB			MB		GABA
Ex_Prox1_Bsx	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-1	neuron	automatic	0																															none
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-1	DOUBLET	manual	0																															none
Ex_Vsx2_Pitx2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-0	neuron		61	MB_M4_M4B	36.07%	MB_M4_B_F011	11.48%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Vsx2_Foxd3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-1	neuron	automatic	0																															none
Ex_Vsx2_Galr1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-1	neuron		45	MB_M4_M4B	20.00%	MB_M6_M014	15.56%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Vsx2_C1ql4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-1	neuron		46	BS_M1_M1	32.61%	BS_M1_F008	13.04%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Vsx2_Sox1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-13-1	neuron		51	BS_M1_M1	49.02%	MB_M4_A_F013	21.57%																											VGLUT2
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0	DOUBLET	manual	0																															none
Inh_Pax3_Zic1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-1	neuron		33	MB_M4_M4A	39.39%	MB_M4_A_M013	30.30%																				MB	SCm|MB|PAG	MB	SCm		MB	SCm	GABA
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-1-0	DOUBLET	manual	0																															none
Inh_Pax3_Zic1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-1-1	neuron		24	MB_M3_M3	50.00%	MB_M3_F010	12.50%																				MB	MB|SCm|MRN|PAG	MB	MB		MB	MB	GABA
Ex_Tcf7l2_Prokr2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-0-0	neuron		60	TH_T2_T2	51.67%	TH_T2_M013	48.33%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Tcf7ll2_Slc25a21	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-0-1	neuron	automatic	0																															none
Ex_Sox6_Twist1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-15-1	neuron		30	MB_M4_M4B	43.33%	MB_M4_B_F012	40.00%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16	DOUBLET	manual	0																															none
Inh_Zeb2_Crym_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-0-0	neuron		20	NTS_NTS	50.00%	BS_L5_F005	30.00%																				MB|P	MRN|PAG	MB	MRN		MB	MRN	GLY
Inh_Zeb2_Crym_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-0-1	neuron		16	BS_L5_L5	25.00%	BS_L8_F005	18.75%																				MB	MRN|PAG	MB	MRN		MB	MRN	GLY
Inh_Zeb2_Clec10a	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-17-1	neuron		18	BS_L3_L3	27.78%	AMY_AMY_F015	16.67%																											GLY
Ex_C1ql4_Art4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	neuron		58	MB_M5_M5	56.90%	MB_M5_F010	18.97%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Nts	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-1	neuron		38	MB_M6_M6	26.32%	MB_M6_M012	13.16%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Tnnt2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-1-0	neuron		37	MB_M5_M5	54.05%	MB_M5_M014	21.62%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Slc25a21	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-1-1	neuron		37	MB_M5_M5	27.03%	TH_T1_M013	13.51%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Mdfic2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-0-0	neuron		54	MB_M5_M5	35.19%	MB_M5_F010	11.11%																				MB	MRN|PAG	MB	MRN		MB	MRN	VGLUT2
DOUBLET	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-0-1	DOUBLET	manual	0																															none
Ex_C1ql4_Mdfic2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-1-0	neuron		39	MB_M5_M5	38.46%	MB_L5_F012	15.38%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Pappa	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-1-1-1	neuron		17	MB_M5_M5	35.29%	MB_M5_F010	23.53%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Zfp114_Art4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-0	neuron		76	MB_M4_M4B	36.84%	MB_L5_F010	19.74%																				MB	MRN|RN|MB	MB	MRN		MB	MRN	VGLUT2
Ex_C1ql4_Svep1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1	neuron		28	MB_M4_M4B	32.14%	MB_L6_F010	17.86%																				MB	MB|MRN	MB	MB		MB	MB	VGLUT2
Ex_C1ql4_Ebf2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-1-1	neuron		61	MB_M4_M4B	26.23%	MB_L5_F010	16.39%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Cox6a2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-0-0	neuron		38	MB_L6_L6	36.84%	MB_L6_M012	26.32%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Cox6a2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-0-1	neuron		21	MB_M6_M6	33.33%	MB_M6_M013	14.29%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Thbs4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-1-1	neuron		47	MB_L6_L6	25.53%	MB_L6_M012	14.89%																				MB	MRN|MB|PAG	MB	MRN		MB	MRN	VGLUT2
Ex_Defb1_Arhgap36	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	neuron		104	MB_M1_M1	39.42%	MB_M1_F010	23.08%	0	0	0	0	0	0	0	7	80	2	0	0	0	MB	MB	0.898876404494382	PAG|MB|MRN	PAG	0.725	MB	PAG	MB	PAG	89	MB	PAG	VGLUT2
Ex_Defb1_Cnga3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-1	neuron		25	MB_M1_M1	52.00%	MB_L4_A_F013	20.00%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-0-0	neuron		47	MB_M4_M4A	40.43%	MB_M4_A_F013	12.77%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-0-1	neuron		45	MB_M4_M4A	51.11%	MB_M4_A_M013	24.44%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Cldn3_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-1-1	neuron		48	MB_M5_M5	31.25%	MB_M4_B_F011	16.67%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
Ex_Tfap2b_Clec12a	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-1-0	neuron		80	MB_M1_M1	77.50%	MB_M1_M012	18.75%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Wfdc10	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-1-1	neuron		58	MB_M1_M1	44.83%	MB_M3_F012	20.69%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Calcr	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-2-0	neuron		91	MB_M4_M4A	51.65%	MB_M4_A_F013	20.88%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Gabre	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-2-1	neuron		48	MB_M4_M4A	29.17%	MB_M4_A_F013	20.83%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Tfap2b_Crh	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-3-3	neuron		56	MB_M1_M1	35.71%	MB_M4_A_F010	17.86%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Inh_Dlx1_Foxd1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	neuron		58	MB_L6_L6	62.07%	MB_L6_F011	31.03%																				MB	MB	MB	MB		MB	MB	GABA
Inh_Dlx1_Foxd1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-0-1	neuron		20	MB_L6_L6	80.00%	MB_L6_M013	80.00%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Inh_Dlx1_Six3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0-1	neuron		27	SUB_M_M	51.85%	SUB_M_A_M016	48.15%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Inh_Pax6_Cdh23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-1	neuron		91	MB_L6_L6	28.57%	TH_T5_M013	26.37%																				MB		MB			MB		GABA
Inh_Pax6_Nkx2-2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-0	neuron		102	MB_L6_L6	50.00%	MB_L6_M013	23.53%	0	0	0	0	0	0	0	16	20	0	0	0	0	MB|HY	MB	0.555555555555556	PAG|MB|MRN|DR|PRT|RN	PAG	0.3	MB	MRN|PAG	MB	MRN	36	MB	PAG	GABA
Inh_Pax6_Nkx2-2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-1-0	neuron		37	MB_L6_L6	29.73%	HY_HY_F022	21.62%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Inh_Pax6_Nt5dc2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-1-1-1	neuron	automatic	0																															none
Inh_Six3_Irs4_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-0	neuron		98	HY_HY_HY6	32.65%	HY_HY_F022	66.33%																				MB	MB|MRN|PAG	MB	MB		MB	MB	GABA
Inh_Six3_Irs4_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-0-1	neuron	automatic	0																															none
Inh_Six3_Tpbg	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-1	neuron		25	HY_HY_HY3	64.00%	HY_HY_F022	88.00%																				MB	MRN|PAG	MB	MRN		MB	MRN	GABA
Inh_Six3_Six6_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0-2	neuron		17	HY_HY_HY3	58.82%	HY_HY_F022	76.47%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	GABA
Inh_Six3_Six6_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-1	neuron		20	HY_HY_HY3	55.00%	HY_HY_F022	80.00%																				MB	MB|PAG|MRN	MB	MB		MB	MB	GABA
Inh_Six3_Six6_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-2	neuron	automatic	0																															none
Inh_Six3_Six6_4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-1	neuron	automatic	0																															none
Inh_Six3_Aldh3b2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	neuron		29	PALm_MSC_MSC	41.38%	HY_HY_F022	48.28%																				MB	MB|MRN|PAG	MB	MB		MB	MB	GABA
Inh_Six3_Aldh3b2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-1	neuron		26	HY_HY_HY3	73.08%	HY_HY_F022	96.15%																				MB	MB|PAG|MRN	MB	MB		MB	MB	GABA
Inh_Six3_Serpinb1b_Sox3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-1	neuron		23	PALm_MSC_MSC	39.13%	HY_HY_F022	34.78%																				MB	PAG	MB	PAG		MB	PAG	GABA
Inh_Six3_Bnc2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-1	neuron		29	PALm_MSC_MSC	65.52%	PALm_MSC_F017	20.69%																				MB	PAG	MB	PAG		MB	PAG	GABA
Inh_Six3_Bnc2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-1-0	neuron		89	PALm_MSC_MSC	32.58%	HY_HY_F022	16.85%																				MB	PAG	MB	PAG		MB	PAG	GABA
Inh_Six3_Pthlh	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-1-1	neuron	automatic	0																															none
Inh_Six3_Pgm5	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-1	neuron		18	PALm_MSC_MSC	77.78%	PALm_MSC_F014	22.22%																				MB	MB|PAG	MB	MB		MB	MB	GABA
Inh_Six3_Fezf1_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-1-0	neuron		22	PALm_MSC_MSC	90.91%	PALm_MSC_F014	50.00%																				MB	PAG	MB	PAG		MB	PAG	GABA
Inh_Six3_Fezf1_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-1-1	neuron	automatic	0																															none
Ex_Zic1_St14	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	neuron		226	MB_M3_M3	53.98%	MB_M3_F012	19.03%	0	0	0	0	0	0	1	0	32	0	0	0	0	MB	MB	0.96969696969697	PAG|SCm|MB	PAG	0.65625	MB	PAG|SCm	MB	PAG	33	MB	PAG	VGLUT2
Ex_Zic1_S100a11	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-1-0	neuron		39	MB_M4_M4B	56.41%	MB_M4_B_F012	48.72%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Zic1_Slc38a4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-1-1	neuron		36	MB_M4_M4B	61.11%	MB_M4_B_F012	55.56%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Zic1_Mybpc1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-2	neuron		43	MB_M4_M4A	51.16%	MB_M3_F011	20.93%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Pou4f2_Trim21	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-1	neuron		99	MB_M1_M1	42.42%	MB_M1_M013	16.16%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Pitx1_Moxd1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-0	neuron		104	MB_L4_L4A	36.54%	MB_L4_A_F010	18.27%	0	0	0	0	0	0	0	0	11	0	0	0	0	MB	MB	1	CUN|PAG|MB	CUN	0.636363636363636	MB	PAG	MB	PAG	11	MB	CUN	VGLUT2
Ex_Pitx1_C1ql4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-0-1	neuron		42	MB_M4_M4A	40.48%	MB_L4_A_F013	19.05%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Pitx1_Nts	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-0-1	neuron		27	MB_M4_M4A	51.85%	MB_M4_A_F012	25.93%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_PItx2_Cox4i2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-1-0-0	neuron		60	MB_L3_L3	33.33%	MB_L3_F011	15.00%																				MB	MB|MRN|SCm	MB	MB		MB	MB	VGLUT2
Ex_Pitx1_Kntc1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-1-0-1	neuron		42	MB_M4_M4A	50.00%	MB_M4_A_F010	14.29%																				MB	PAG|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_C1ql4_Asb4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-8-1-1	neuron		48	MB_L4_L4A	25.00%	MB_L4_A_F013	16.67%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Sim1_Bsx_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-0-0	neuron		65	HY_HY_HY1	33.85%	HY_HY_F022	32.31%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
Ex_Sim1_Bsx_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-0-1	neuron		19	MB_M7_M7	47.37%	HY_HY_F022	36.84%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Sim1_Bsx_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0-1	neuron		30	MB_L7_L7	56.67%	MB_L7_F012	56.67%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
Ex_Sim1_Bsx_4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-1	neuron		54	HY_HY_HY1	50.00%	HY_HY_F022	37.04%																				HY|MB		HY			HY		VGLUT2
Ex_Nkx2-4_Asb4	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-1-0-0	neuron		29	MB_M7_M7	44.83%	HY_HY_F022	41.38%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
Ex_Nkx2-4_Cdkn1c_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-1-0-1	neuron		31	MB_M7_M7	48.39%	MB_M7_F013	32.26%																				MB	MB|PAG	MB	MB		MB	MB	VGLUT2
Ex_Nkx2-4_Cdkn1c_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-1-1	neuron		44	HY_HY_HY1	27.27%	HY_HY_F022	38.64%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
