GO_id,GO_name,is_synGO,num_genes,average_correlation,prop_best,gene_set
GO:0000086,G2/M transition of mitotic cell cycle,FALSE,110,0.4211849052267493,0.3181818181818182,"Birc5,Atm,Bard1,Blm,Brca1,Ccna2,Ccnd1,Ccng1,Cdc25a,Cdc25b,Cdc25c,Cdk1,Cdc7,Cdk2,Cdk4,Cdk6,Cdkn1a,Chek1,Cit,Foxm1,Hspa2,Hus1,Ier3,Lmnb1,Mbd4,Mre11a,Nes,Orc1,Cdk14,Abcb1b,Abcb1a,Pkia,Plk1,Rad21,Rad50,Rad51b,Rrm1,Sin3a,Aurkb,Ube2a,Wee1,Wnt10b,Cdc6,Creb3l1,Nbn,Skp2,Miip,Chek2,Rab11a,Ppm1d,Foxo4,Ensa,Fzr1,Gpr132,Brd4,Arpp19,Donson,Inip,Chmp4c,Zfp830,Mastl,Fbxo5,Rnaseh2b,Stk35,Ccny,Pabir1,Mrnip,Nop53,Etaa1,Fbxl15,Syf2,Ctc1,Nabp2,Abraxas1,Foxn3,Zfyve19,Ush1c,Pinx1,Rint1,Usp47,Dtl,Ticrr,Kdm8,Trim39,Cdk5rap3,Babam2,Cenpf,Camk2d,Rcc2,Nabp1,Rad51c,Hus1b,Brcc3,Stox1,Taok1,Dbx2,Rbbp8,Kat14,Pdik1l,Chfr,Topbp1,Ccnb1,Pkmyt1,Clspn,Taf2,Taok3,Brcc3dc,Kif14,Taok2,Rrm2b"
GO:0000096,sulfur amino acid metabolic process,FALSE,26,0.3852247112388527,0.46153846153846156,"Agxt,Mat1a,Bhmt,Cbs,Cdo1,Comt,Dpep1,Ggt1,Gnmt,Mthfr,Mmut,Nox4,Apip,Bhmt2,Mtap,Enoph1,Mri1,Adi1,Cth,Mthfd1,Mtrr,Cps1,Mtr,Mpst,Bhmt1b,Mthfd2l"
GO:0000097,sulfur amino acid biosynthetic process,FALSE,16,0.38467759174690214,0.4375,"Bhmt,Cbs,Ggt1,Mthfr,Apip,Bhmt2,Mtap,Enoph1,Mri1,Adi1,Cth,Mthfd1,Mtrr,Mtr,Bhmt1b,Mthfd2l"
GO:0000132,establishment of mitotic spindle orientation,FALSE,30,0.4067889206641662,0.3,"Cenpa,Dctn1,Mapre1,Hdac3,Htt,Inppl1,Arhgef2,Pax6,Plk1,Dynlt1b,Spry1,Spry2,Zw10,Mad2l1,Bccip,Ndc80,Nde1,Gpsm1,Spdl1,Sapcd2,Gpsm2,Misp,Kat5,Ndel1,Numa1,Enkd1,Fbxw11,Insc,Pkhd1,Nsfl1c"
GO:0000154,rRNA modification,FALSE,30,0.400538762036268,0.1,"Fbl,Emg1,Tfb2m,Nhp2,Ftsj3,Bud23,Nop10,Dimt1,Mrm3,Trmt112,Mrm2,Gar1,Tsr3,Rpusd4,Nsun4,Mettl5,Zcchc4,Nat10,Nsun5,Nsun3,Rpusd1,Nop2,Trmt2b,Mrm1,Tfb1m,Naf1,Fbll1,Dkc1,Rpusd2,Fdxacb1"
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",FALSE,37,0.3805259956611024,0.13513513513513514,"Apobec1,Gspt1,Gspt2,Hnrnpab,Eif3e,Magoh,Pabpc1,Upf1,Rnps1,Exosc10,Pnrc2,Syncrip,Rbm8a,Magohb,Upf3a,Ncbp2,A1cf,Dcp2,Nbas,Dhx34,Smg9,Parn,Smg8,Secisbp2,Pym1,Smg6,Skic2,Casc3,Eif4a3,Smg7,Zc3h12a,Smg1,Pnldc1,Ctif,Upf2,Rc3h1,Eif4a3l1"
GO:0000212,meiotic spindle organization,FALSE,23,0.3100786271375789,0.13043478260869565,"Aspm,Ccnb2,Ddb1,Mos,Pten,Aurka,Atrx,Septin1,Ska2,Ska1,Ndc80,Fbxo5,Washc1,Mei1,Golga2,Tubg1,Tubg2,Espl1,Dicer1,Ska3,Dcaf13,Washc5,Cenpe"
GO:0000245,spliceosomal complex assembly,FALSE,40,0.4180821922170368,0.15,"Celf1,Srsf10,Sf3a2,Snrpc,Srpk2,Zrsr2,U2af2,Rsrp1,Usp39,Ddx39b,Ptbp2,Srpk3,Mbnl1,Isy1,Gemin2,Crnkl1,Luc7l,Gemin6,Sf3a1,Luc7l3,Srsf6,Ddx42,Scaf11,Htatsf1,Khdc4,Sf3a3,Celf6,Nol3,Sf3b1,Rbm5,Psip1,Srsf1,Luc7l2,Slu7,Ddx46,Ythdc1,Sfswap,Setx,Srsf12,Gcfc2"
GO:0000266,mitochondrial fission,FALSE,41,0.5094050924799768,0.4878048780487805,"Ap3b1,Lpin1,Irgm1,Igtp,Kdr,Mapt,Ralbp1,Stat2,Aurka,Ucp2,Prkn,Irgm2,Rala,Mtch2,Dhodh,Vps35,Myo19,Fis1,Carlr,Slc25a46,Mtfr1,Mtfp1,Spire1,Mul1,Pink1,Ggnbp1,Mtfr2,Ddhd2,Pgam5,Tmem135,Dnm1l,Opa1,4930550C14Rik,Mff,Mtfr1l,Ddhd1,Mfn2,Mcu,Cyrib,Mief2,Mief1"
GO:0000271,polysaccharide biosynthetic process,FALSE,52,0.46180453660750237,0.4807692307692308,"Acadm,Akt1,Akt2,Ap2a1,Egf,Ext1,Fut9,Gfpt1,Has1,Has2,Has3,Ndst1,Igf2,Ins1,Ins2,Insr,Ndst2,Pdgfb,Enpp1,Per2,Ppp1ca,Ppp1cb,Inpp5k,Ptger4,Pth,Sorbs1,Tgfb1,Hs2st1,Esrrb,Gyg1,Ppp1r3c,Ppp1r3f,Ptges3,Gsk3b,Pgm2,Cltc,Dyrk2,C1qtnf2,Ppp1r3g,Gck,Nhlrc1,Ppp1r3e,Ppp1r3a,Ugp2,Nr1d1,Ppp1r3d,Gys2,Prkag3,Ppp1r3b,Pask,1810024B03Rik,Irs2"
GO:0000272,polysaccharide catabolic process,FALSE,27,0.3814330194323804,0.2962962962962963,"Rb1cc1,Chil3,G6pc1,Hmgb1,Ins1,Ins2,Ppp1ca,Ppp1cb,Pygm,Stbd1,Wipi1,Ppp1r3c,Wdr45,Gabarapl1,Pgm2,Phkg2,Chit1,Wipi2,Atg2b,Chia1,Ppp1r3e,Pygl,Ppp1r3d,Mgam,Ppp1r3b,Adcy10,Atg2a"
GO:0000281,mitotic cytokinesis,FALSE,77,0.41045484343363153,0.2727272727272727,"Apc,Birc5,Arf1,Arf6,Rhoa,Rhob,Rhoc,Cenpa,Cfl1,Cit,Daxx,Ect2,Stx2,Incenp,Kif4,Nup62,Pdcd6ip,Plk1,Kif20a,Rock1,Rock2,Rtkn,Exoc4,Son,Sptbn1,Aurkb,Unc119,Jtb,Racgap1,Trim36,Spast,Cdca8,Exoc7,Rab11a,Arl3,Chmp4c,Exoc2,Cul7,Chmp3,Chmp1b2,Chmp1b,Poldip2,Chmp2b,Mitd1,Stambp,Kif23,Efhc1,Myh14,Zfyve19,Cep55,Ankrd53,Chmp4b,Exoc6b,Chmp5,Rab35,Klhdc8b,Ckap2,Exoc8,Bbs4,Exoc5,Chmp7,Nusap1,Snx18,Mtmr4,Chmp6,Exoc3,Zfyve26,Map9,Rab11fip3,Cntrob,Spart,Wnk1,Chmp1a,Septin7,Snx33,Kif20b,Iqgap3"
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",FALSE,44,0.41219105648014726,0.13636363636363635,"Hnrnpd,Zfp36l1,Zfp36l2,Noct,Mlh1,Pabpc1,Cnot7,Tob1,Ybx1,Zfp36,Hnrnpu,Caprin1,Syncrip,Patl2,Polr2g,Cnot8,Dcps,Dcp2,Cnot2,Dhx36,Pan3,Parn,Eif4enif1,Pan2,Cnot6,Igf2bp1,Cpeb3,Pde12,Tnrc6b,Tent4b,Tnrc6c,Paip1,Patl1,Csde1,Cnot6l,Samd4b,Tnrc6a,Cnot1,Ago2,Pnldc1,Rc3h2,Zfp36l3,Rc3h1,Pabpn1l"
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,FALSE,22,0.44975147345054123,0.13636363636363635,"Mlh1,Pabpc1,Cnot7,Tob1,Zfp36,Polr2g,Cnot2,Pan3,Parn,Eif4enif1,Pan2,Cnot6,Cpeb3,Tnrc6b,Tent4b,Tnrc6c,Samd4b,Tnrc6a,Cnot1,Ago2,Pnldc1,Zfp36l3"
GO:0000303,response to superoxide,FALSE,21,0.38643988606114504,0.5238095238095238,"Apoa4,Atp7a,Ccs,Cd36,Dhfr,Fancc,Gch1,Mb,Mpo,Nfe2l2,Nqo1,Nos3,Sod1,Sod3,Prdx2,Ucp2,Ucp3,Fbln5,Park7,Adprs,Cygb"
GO:0000305,response to oxygen radical,FALSE,22,0.38974380587498186,0.5454545454545454,"Apoa4,Atp7a,Ccs,Cd36,Dhfr,Fancc,Gch1,Mb,Mpo,Nfe2l2,Nqo1,Nos3,Sod1,Sod3,Prdx2,Ucp2,Ucp3,Fbln5,Txnrd2,Park7,Adprs,Cygb"
GO:0000380,"alternative mRNA splicing, via spliceosome",FALSE,65,0.41117095907899265,0.23076923076923078,"Celf1,Ddx5,Dyrk1a,Khdrbs3,Fmr1,Hnrnpa1,Hnrnpl,Zbtb7a,Magoh,Myod1,Ptbp1,Rbm4,Rbmxl1,Rest,Rnps1,Khdrbs1,Sap18,Srsf2,Tra2b,Strap,Tia1,Hnrnpu,Rbfox3,Pqbp1,Mbnl1,Rbm8a,Wtap,Rsrc1,Rbm7,Rbm25,Ddx17,Srsf6,Ncbp2,Bcas2,Arb2a,Hnrnpul2,Cdk13,Sfpq,Rbpms2,Rbm20,Smu1,Celf6,Hnrnpm,Rbm17,Esrp2,Rbm5,Rbfox2,Mbnl2,Srsf9,Rbm15b,Srsf1,Eif4a3,Slu7,Esrp1,Rbm11,Rbm15,Thrap3,Ythdc1,Sfswap,Arglu1,Srsf19,Rbm47,Srsf12,Nova2,Sap18b"
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",FALSE,48,0.41902585454696706,0.2916666666666667,"Celf1,Ddx5,Dyrk1a,Khdrbs3,Fmr1,Hnrnpl,Zbtb7a,Magoh,Myod1,Ptbp1,Rbm4,Rbmxl1,Rest,Rnps1,Khdrbs1,Sap18,Srsf2,Tra2b,Tia1,Hnrnpu,Rbfox3,Mbnl1,Rbm8a,Wtap,Rbm7,Rbm25,Ddx17,Srsf6,Arb2a,Rbpms2,Rbm20,Smu1,Celf6,Rbm5,Rbfox2,Mbnl2,Rbm15b,Eif4a3,Rbm11,Rbm15,Thrap3,Ythdc1,Arglu1,Srsf19,Rbm47,Srsf12,Nova2,Sap18b"
GO:0000387,spliceosomal snRNP assembly,FALSE,29,0.32074934029585483,0.06896551724137931,"Clns1a,Coil,Prpf4b,Smn1,Snrpc,Snrpd1,Snrpe,Strap,Prmt5,Lsm2,Lsm4,Sart3,Ddx20,Tssc4,Gemin2,Gemin6,Snrpg,Aar2,Prpf31,Gemin7,Snrpf,Wdr77,Prpf3,Snrpd2,Prpf8,Tdrd6,Gemin5,Gemin8,Gemin4"
GO:0000422,autophagy of mitochondrion,FALSE,85,0.4818055915133251,0.2823529411764706,"Slc25a4,Slc25a5,Atp5if1,Phb2,Bnip3l,Tspo,Rb1cc1,Cdkn2a,Eif2s1,Fkbp8,Gba1,Nipsnap2,Hdac6,Htt,Hk2,Irgm1,Igtp,Srebf1,Trp53,Ube2a,Ulk1,Vdac1,Ulk2,Fbxw7,Prkn,Wipi1,Timm23,Irgm2,Wdr45,Becn1,Stub1,Gabarap,Gabarapl1,Huwe1,Htra2,Tomm7,Retreg1,Fis1,Nipsnap3b,Map1lc3a,Dele1,Cisd2,Fundc2,Map1lc3b,Slc25a46,Rnf41,Mul1,Pink1,Optn,Ulk3,Fundc1,Fundc2b,Spata18,Dnm1l,Clec16a,Wipi2,Atg2b,Arfip2,Lrba,Gabarapl2,Cers1,Bcl2l13,Usp30,Atg4a-ps,Rimoc1,Ogt,Mfn2,Snx30,Atg9b,Becn2,Ambra1,Vps13d,Atg4d,Atg9a,Nod2,Fbxl4,Adcy10,Tigar,Vps13c,Spata33,Atg2a,Abi2,Parl,Gsk3a,Atg14"
GO:0000423,mitophagy,FALSE,71,0.4895070736441897,0.30985915492957744,"Slc25a4,Slc25a5,Atp5if1,Phb2,Bnip3l,Tspo,Eif2s1,Fkbp8,Gba1,Nipsnap2,Hdac6,Htt,Hk2,Irgm1,Igtp,Srebf1,Trp53,Ube2a,Ulk1,Vdac1,Ulk2,Fbxw7,Prkn,Timm23,Irgm2,Becn1,Stub1,Gabarap,Gabarapl1,Huwe1,Htra2,Tomm7,Retreg1,Nipsnap3b,Map1lc3a,Dele1,Map1lc3b,Rnf41,Mul1,Pink1,Optn,Ulk3,Fundc1,Dnm1l,Clec16a,Arfip2,Lrba,Gabarapl2,Cers1,Bcl2l13,Usp30,Atg4a-ps,Rimoc1,Ogt,Mfn2,Snx30,Atg9b,Becn2,Ambra1,Vps13d,Atg4d,Atg9a,Nod2,Adcy10,Tigar,Vps13c,Spata33,Abi2,Parl,Gsk3a,Atg14"
GO:0000460,maturation of 5.8S rRNA,FALSE,27,0.36341355081894205,0.14814814814814814,"Bop1,Eif6,Abt1,Exosc9,Exosc10,Ftsj3,C1d,Rrs1,Rcl1,Nsa2,Pes1,Exosc3,Exosc7,Rrp15,Eri1,Nop9,Mak16,Mphosph6,Exosc8,Rpf1,Fcf1,Nol9,Exosc4,Urb1,Rpp40,Kri1,Exosc2"
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",FALSE,31,0.35090373399238795,0.06451612903225806,"Ercc2,Rps16,Rps19,Rps8,Utp4,Abt1,Bysl,Wdr46,Rrs1,Rcl1,Utp3,Gtf2h5,Nop9,Ngdn,Tsr2,Fcf1,Utp23,Tsr1,Slx9,Pwp2,Dhx37,Rpp40,Tbl3,Bms1,Utp25,Kri1,Utp6,Nol10,Heatr1,Dcaf13,Rrp36"
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",FALSE,19,0.36362591175726233,0.10526315789473684,"Bop1,Abt1,Exosc9,Exosc10,Ftsj3,Rrs1,Rcl1,Pes1,Exosc3,Exosc7,Eri1,Nop9,Exosc8,Fcf1,Nol9,Urb1,Rpp40,Kri1,Exosc2"
GO:0000470,maturation of LSU-rRNA,FALSE,22,0.3396269429422565,0.045454545454545456,"Bop1,Eif6,Rpl7,Rpl7a,Rbm34,Ftsj3,Nsa2,Pes1,Rpl35,Ddx18,Rrp15,Rpf2,Trmt112,Mak16,Pak1ip1,Rpf1,Nol9,Nop2,Urb1,Znhit6,Ppan,Znhit3"
GO:0000578,embryonic axis specification,FALSE,38,0.41313792922474035,0.631578947368421,"Chrd,Cited1,Frat1,Fzd5,Gdf3,Foxa2,Lhx1,Smad6,Mesp1,Mesp2,Neurog1,Otx2,Stil,Tbx3,Tbx6,Tcf7l1,Cripto,Kdm6a,Wnt1,Wnt5a,Wnt7a,Wt1,Peg12,Nckap1,Tmed2,Nrarp,Tdrkh,Chrdl1,Tdrd1,Tdrd7,Pld6,Tdrd6,Tifab,Tdrd5,Tasor,Epb41l5,Ripply2,Ripply1"
GO:0000712,resolution of meiotic recombination intermediates,FALSE,17,0.30034837412139126,0.11764705882352941,"Mlh1,Cenpx,Top2a,Top2b,Ercc4,Slx4,Cenps,Mus81,Rmi1,Meiob,Tex11,Shoc1,Fancm,Eme2,Ankle1,Eme1,Hfm1"
GO:0000723,telomere maintenance,FALSE,122,0.3908283432157394,0.19672131147540983,"Apex1,Atm,Hnrnpd,Blm,Brca2,Ccne1,Ccne2,Cct2,Cct6a,Cdk2,Ercc1,Xrcc6,Gch1,Hnrnpc,Hsp90aa1,Hus1,Klf4,Lmna,Mapkapk5,Mre11a,Myc,Nek2,Pcna,Pml,Ppp1ca,Rad50,Rad51,Rad51d,Upf1,Rpa2,Ruvbl2,Sp100,Aurkb,Tcp1,Tep1,Terf2,Tert,Tnks,Trp53,Wnt3a,Atrx,Xrcc1,Yy1,Xrn1,Map2k7,Mapk1,Mapk3,Nbn,Tinf2,Ercc4,Sirt6,Exosc10,Hnrnpu,Mcrs1,Nhp2,Slx4,Hnrnpa2b1,Actr8,Ptges3,Actl6a,Ruvbl1,Terf2ip,Pnkp,Nop10,Smc6,Ino80,Gar1,Rpa1,Nsmce2,Ctc1,Ten1,Tfpt,Nabp2,Ino80b,Hdac8,Dcp2,Spdya,Mad2l2,Dhx36,LTO1,Pinx1,Pot1b,Shld1,Parn,Xrcc3,Tnks2,Shld2,Slx1b,Recql4,Nat10,Zbtb48,Pot1a,Smg6,Fbxo4,Bmyc,Stn1,Actr5,Rad51c,Dclre1b,Hspa1a,Pif1,Hus1b,Tent4b,Wrap53,Hmbox1,Ino80c,Ino80d,Dclre1c,Smg1,Naf1,Nfrkb,Parp3,Dkc1,Rtel1,Dna2,Mapk15,Acd,Zscan4d,Potefam3a,Ankrd66,Potefam3b,Shld3"
GO:0000729,DNA double-strand break processing,FALSE,17,0.4394007053183922,0.29411764705882354,"Atm,Blm,Mre11a,Rad50,Rad52,Spo11,Nbn,Slx4,Ube2v2,Rnf138rt1,Setmar,Ube2n,Helb,Helq,Rbbp8,Brip1,Dna2"
GO:0000731,DNA synthesis involved in DNA repair,FALSE,35,0.39363876075430726,0.17142857142857143,"Cdkn2d,Pcna,Pold1,Pold2,Pole,Pole2,Rev3l,Rrm1,Sycp1,Sycp3,Trex1,Poli,Polk,Rev1,Tex12,Faap20,Poldip2,Pold3,Pclaf,Pold4,Mad2l2,Dtl,Polq,Wrnip1,Polh,Sirt1,Hrob,Sprtn,Zbtb1,Vcp,Poln,Spata22,Rrm2b,Primpol,Parp10"
GO:0000768,syncytium formation by plasma membrane fusion,FALSE,54,0.3690947921749699,0.3888888888888889,"Adam8,Adam9,Cacna1s,Casp1,Cav3,Cd44,Cd53,Cd81,Cflar,Dyrk1b,Ehd1,Flot1,Flt3l,Gcm1,Cxcl10,Il4,Il4ra,Ins2,Cxcl9,Myod1,Myog,Neo1,Nfatc2,Nfe2,Ntn3,Ptgfrn,Ccl8,Stat1,Tyrobp,Wnt1,Adamts5,Gdf15,Mapk14,Tnfsf14,Nphs1,Gsk3b,Mymk,Scgb3a1,Izumo1,Ocstamp,Dcstamp,Trem2,Dock2,Tcta,Syna,Il36g,Sbno2,Vash2,Adamts15,Cd109,Synb,Ehd2,Tmem182,Mymx"
GO:0000910,cytokinesis,FALSE,144,0.4126750861445215,0.3055555555555556,"Anxa11,Apc,Birc5,Arf1,Arf6,Rhoa,Rhob,Rhoc,Bcl2l1,Cxcr5,Brca2,Birc6,Cdc25b,Cdc42,Cenpa,Cfl1,Cit,Plk3,Daxx,Drd3,Ect2,Stx2,Igf1r,Incenp,Kif4,Septin2,Nup62,Pdcd6ip,Plk1,Septin5,Pstpip1,Kif20a,Rock1,Rock2,Rtkn,Exoc4,Septin8,Sstr5,Son,Sptbn1,Aurkc,Aurkb,Aurka,Unc119,Cdc6,Jtb,Pin1,Septin3,Cetn2,Cul3,Racgap1,Trim36,Spast,Cdca8,E2f7,Exoc7,Dctn3,Septin9,Rab11a,Atxn10,Septin1,Fmn2,Sh3glb1,Prpf40a,Becn1,Arl3,Diaph3,Dstn,Pdxp,Myo19,Chmp4c,Exoc2,Cul7,Chmp3,Actr2,Chmp1b2,Chmp1b,Poldip2,Gipc1,Spire1,Washc1,Chmp2b,Mitd1,Stambp,Septin12,Kif23,Shcbp1l,Efhc1,Myh14,Zfyve19,Alkbh4,Cep55,Septin14,Mei1,Map10,Ankrd53,Chmp4b,Pik3r4,Exoc6b,Chmp5,Rab35,Klhdc8b,Uvrag,Ckap2,Tex14,Tas1r2,Exoc8,Bbs4,Septin10,Exoc5,Chmp7,Nusap1,E2f8,Pkn2,Snx18,Mtmr4,Chmp6,Exoc3,Cspp1,Zfyve26,Map9,Rab11fip3,Cntrob,Git1,Washc5,Pik3c3,Pkp4,Spart,Cdc14a,Wnk1,Mrgprb1,Prc1,Chmp1a,Spire2,Septin7,Snx33,Setd2,Rxfp3,Fsd1,Kif20b,Klhl9,Klhl21,Kif14,Iqgap3"
